TP9,AF7,AF8,TP10
-4.883,26.855,82.52,-56.641
-7.324,28.809,-28.809,-64.453
-6.836,23.438,-69.824,-70.312
-6.348,24.414,122.559,-69.824
-8.789,32.715,126.465,-58.105
-5.371,35.645,40.039,-53.711
-5.371,33.203,-5.859,-67.383
-13.184,32.227,-53.223,-85.938
-13.672,30.762,114.258,-77.148
-5.859,30.273,166.504,-57.129
-4.395,28.32,101.562,-46.387
0.977,28.32,4.395,-43.945
1.953,34.668,-32.715,-65.918
-1.953,36.133,75.684,-75.195
1.953,36.133,103.516,-56.152
5.371,31.738,82.52,-45.41
4.395,35.156,21.973,-51.27
2.93,44.434,-35.645,-66.406
4.395,39.551,29.297,-69.824
1.465,35.645,118.652,-57.617
2.441,34.18,112.793,-47.363
4.883,33.691,61.523,-49.805
3.418,34.18,-83.496,-65.43
-1.953,30.273,17.578,-69.824
-6.836,27.344,164.551,-55.176
-8.789,27.344,91.309,-49.316
-13.184,29.297,27.344,-50.293
-14.16,32.227,-41.016,-66.895
-13.672,32.227,-2.441,-77.148
-7.812,33.203,53.223,-64.453
-4.395,33.691,126.953,-58.105
-10.254,32.715,102.051,-60.547
-11.23,34.668,-98.633,-72.266
-11.719,34.18,-27.832,-84.473
-13.672,29.297,166.504,-69.336
-11.719,28.32,97.168,-48.828
-10.254,27.832,68.848,-45.898
-11.719,23.926,-39.551,-56.641
-7.812,18.555,-42.48,-68.359
-2.441,17.578,77.148,-62.5
-1.465,21.973,71.777,-48.828
-0.488,27.344,11.23,-43.457
-3.418,31.25,-43.945,-52.246
-6.836,36.621,-75.684,-64.941
-2.441,34.18,70.801,-57.129
6.348,28.32,112.305,-35.156
9.277,31.25,40.039,-32.715
6.348,32.715,-54.199,-52.246
4.395,32.715,-84.473,-68.359
8.789,29.785,14.648,-58.594
6.836,24.902,61.523,-45.41
2.93,28.32,44.922,-47.852
3.418,33.203,-46.875,-54.199
1.465,33.203,-120.605,-64.941
0.488,30.273,-17.09,-66.406
9.766,28.32,65.43,-52.734
15.137,28.809,15.137,-48.34
4.395,29.297,-38.086,-58.594
-2.93,28.809,-75.684,-66.895
-5.859,25.879,11.23,-64.941
-1.953,26.855,43.457,-53.711
6.836,27.832,15.137,-45.898
8.301,25.391,-36.621,-49.316
4.395,22.949,-124.023,-64.453
5.371,24.902,-19.043,-66.895
8.789,26.367,49.316,-49.805
12.207,22.461,35.645,-35.645
16.113,25.391,44.922,-42.48
15.625,27.344,-156.738,-63.965
13.672,27.344,-128.906,-70.801
7.812,27.832,119.629,-60.059
2.441,26.367,74.707,-42.969
0.0,24.414,-28.809,-41.992
-6.348,27.344,-122.559,-60.547
-9.277,27.832,-69.824,-63.965
-2.441,26.855,33.203,-47.852
5.859,28.32,-12.207,-41.016
1.465,27.832,-57.129,-45.41
-0.977,30.273,-148.438,-55.176
14.648,33.203,-131.348,-57.617
8.789,28.809,56.152,-51.27
-7.812,23.926,11.719,-51.758
-1.953,19.043,-36.133,-53.223
2.441,17.578,-109.863,-59.57
-1.465,22.461,-122.07,-66.895
2.441,23.438,2.93,-61.035
13.672,21.484,34.668,-48.828
13.672,21.973,-8.301,-50.293
7.812,18.066,-125.977,-59.082
5.859,17.578,-149.902,-70.312
7.812,20.02,-24.902,-70.312
11.719,20.02,33.691,-55.664
17.578,24.902,-13.184,-51.758
18.066,23.926,-101.074,-62.012
15.625,22.949,-169.434,-81.543
20.508,23.926,-8.301,-81.543
22.461,25.391,88.867,-57.129
20.996,21.973,-27.832,-48.828
21.484,20.02,-109.375,-57.129
19.043,23.926,-104.492,-69.824
20.508,26.367,-15.625,-67.383
26.367,23.438,-16.602,-55.176
24.902,20.996,-29.785,-54.688
18.555,21.484,-23.438,-62.988
12.695,24.414,-150.879,-75.684
12.207,27.832,-91.309,-74.707
11.719,25.391,71.289,-59.57
6.836,22.461,-29.785,-52.734
5.859,24.414,-65.43,-58.594
5.859,25.879,-91.797,-67.871
8.301,23.926,-71.777,-69.824
12.695,23.926,41.016,-61.035
17.09,22.461,14.16,-52.246
17.578,21.484,-81.543,-49.805
13.184,29.785,-186.035,-58.594
11.719,32.227,-102.051,-67.871
13.672,32.227,87.402,-52.246
16.113,32.227,12.695,-35.645
16.113,30.762,-34.18,-41.504
12.695,33.203,-118.652,-57.617
10.254,30.273,-93.262,-66.406
13.672,28.809,27.832,-56.641
17.578,29.785,1.465,-38.574
16.113,27.344,-17.09,-45.41
11.23,26.367,-139.16,-65.43
12.207,26.367,-147.949,-77.148
18.066,30.273,22.949,-71.289
19.043,33.203,48.34,-56.641
14.648,32.227,-4.883,-49.805
8.301,30.762,-135.742,-62.988
2.93,28.32,-145.996,-77.148
5.859,30.273,13.672,-65.918
11.23,30.273,47.852,-49.316
12.695,24.902,0.0,-46.875
9.277,20.996,-111.816,-56.641
5.859,22.461,-137.695,-65.918
3.418,21.973,22.461,-59.082
1.465,18.555,63.965,-47.363
6.348,22.949,26.367,-48.828
5.371,28.809,-28.809,-56.152
-1.465,26.367,-150.879,-74.707
-0.488,20.996,2.441,-74.707
3.418,19.043,105.957,-52.246
6.348,19.531,19.531,-47.852
2.93,19.531,-46.875,-62.5
-5.859,19.043,-83.008,-72.754
-5.859,20.02,10.254,-66.406
-0.488,19.531,77.148,-54.199
3.418,18.555,26.855,-46.387
1.953,22.949,-50.781,-52.734
-0.977,25.391,-65.43,-73.242
0.0,21.484,20.508,-75.195
1.953,18.555,92.285,-61.035
-0.488,20.02,68.359,-50.781
0.0,19.531,40.039,-52.734
3.418,16.602,-110.352,-68.359
1.465,15.625,-15.137,-70.312
7.812,18.555,153.32,-50.293
10.742,17.578,85.938,-38.086
7.324,13.184,48.828,-46.875
6.836,16.602,-53.711,-61.523
9.766,22.949,-33.203,-63.477
10.254,20.508,101.074,-51.27
4.395,18.066,106.934,-42.969
4.883,24.414,59.082,-48.828
4.395,23.438,-73.242,-59.57
-1.953,18.066,-44.434,-72.754
-0.977,20.996,174.316,-62.5
-1.953,15.137,107.91,-44.434
-1.465,4.883,47.363,-39.551
-2.441,11.23,-36.133,-51.758
-15.137,23.926,-42.48,-77.148
-14.16,25.879,109.375,-72.754
-6.836,22.461,74.707,-55.176
-7.324,20.996,56.152,-58.594
-7.812,20.996,16.602,-70.801
-11.23,24.414,-84.473,-88.867
-12.207,24.414,97.168,-80.078
-7.812,21.973,168.457,-54.688
-4.395,17.578,25.391,-51.27
-4.395,12.695,-49.316,-60.059
-7.324,11.719,-41.016,-77.148
-5.859,14.648,76.172,-72.754
-3.906,16.113,131.836,-51.758
-4.883,19.043,62.988,-48.34
-3.418,20.02,-64.453,-58.594
-8.301,20.02,-31.25,-74.219
-2.441,24.902,129.395,-69.824
11.23,28.32,116.699,-46.875
11.23,26.855,68.848,-44.434
12.207,21.484,33.691,-53.711
13.184,20.996,-94.238,-67.871
10.254,23.926,20.996,-69.336
14.16,23.438,171.875,-56.152
15.625,25.391,78.125,-51.27
11.719,29.785,48.34,-53.223
6.836,30.273,-21.484,-60.059
12.695,26.367,31.25,-58.594
19.531,25.391,150.879,-45.41
19.531,26.855,132.324,-35.156
20.02,25.879,72.754,-35.156
14.16,23.438,-74.219,-52.734
12.695,24.902,19.531,-62.012
15.137,30.762,183.105,-48.34
18.066,31.738,117.188,-37.109
16.113,28.809,91.797,-42.48
8.301,25.879,-52.734,-54.688
3.906,24.414,27.344,-65.43
1.465,21.484,198.242,-62.988
5.859,18.555,112.793,-48.34
3.418,20.508,120.605,-47.363
-0.488,19.531,34.18,-62.012
6.836,18.555,34.18,-65.43
6.348,27.344,176.758,-52.246
-2.441,28.809,158.203,-40.527
-0.488,24.902,123.047,-39.062
2.441,24.414,-5.859,-52.246
0.977,22.461,22.461,-63.477
4.395,23.438,190.918,-54.688
7.324,23.438,182.129,-39.551
3.418,19.531,97.656,-40.039
-2.93,14.648,14.16,-53.711
-7.812,16.113,-22.461,-68.359
-8.301,20.508,122.559,-64.453
-8.301,21.973,239.746,-47.852
-11.719,20.996,131.348,-49.805
-10.742,20.02,44.922,-59.082
-12.695,19.043,47.363,-68.848
-11.23,20.02,132.324,-65.918
-5.859,24.414,140.137,-53.711
-6.348,20.996,118.652,-50.293
-6.836,22.949,41.016,-55.176
-2.93,29.297,-19.531,-67.871
-0.488,27.344,68.359,-64.941
0.0,25.391,164.062,-49.805
4.395,27.832,138.184,-40.039
6.836,26.855,81.543,-41.992
1.953,22.461,-47.852,-61.035
2.441,21.484,65.43,-57.617
8.301,22.949,246.094,-30.273
1.465,24.414,164.062,-35.645
-4.395,24.414,88.379,-55.176
-8.789,29.785,8.301,-68.359
-8.789,29.785,150.879,-72.754
-4.883,25.879,270.508,-61.035
-4.883,21.484,222.656,-51.758
-4.395,22.949,216.309,-60.059
-4.883,25.879,93.75,-77.148
-7.812,24.414,125.977,-84.473
-5.859,23.926,324.707,-75.195
-2.93,26.367,263.672,-58.105
-4.883,24.902,165.527,-61.523
-10.742,20.508,67.383,-78.613
-11.23,21.973,144.531,-80.078
-4.883,22.461,247.559,-65.918
1.465,20.02,212.891,-53.711
4.883,19.043,178.711,-50.781
-1.953,20.02,60.059,-63.477
-1.953,22.461,62.988,-72.266
5.859,23.926,260.742,-54.199
7.324,21.484,242.676,-35.156
3.906,20.996,154.297,-31.738
0.0,22.949,72.266,-45.898
-5.371,22.461,90.82,-60.547
-1.465,18.555,199.219,-53.223
1.953,20.02,215.82,-42.48
-4.883,22.461,152.344,-38.086
-5.859,20.02,83.984,-48.828
-7.812,20.508,72.266,-60.547
-10.254,20.02,157.227,-56.641
-14.648,16.602,232.422,-44.922
-21.484,13.672,188.477,-42.48
-28.809,7.812,98.145,-59.082
-35.156,2.441,67.383,-76.66
-38.574,0.977,175.293,-70.312
-38.086,0.488,229.492,-54.688
-37.109,-1.465,149.414,-55.664
-37.598,-2.93,81.543,-59.57
-37.598,-10.254,62.5,-64.453
-32.715,-7.324,155.273,-64.941
-30.762,-5.371,211.914,-52.734
-38.574,-12.695,142.578,-47.852
-46.875,-12.207,111.816,-59.57
-48.828,-13.672,20.996,-72.754
